slug,title,pack_term,required_sections_complete,min_internal_links_met,sources_complete,metadata_complete,slug_valid,no_dead_links,language_redlines_ok,no_duplicate_conflict,search_indexed,pack_coverage_ok,score,rating
"erfindung","Erfindung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"erlernte-hilflosigkeit","Erlernte Hilflosigkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ermoeglichende-taetigkeit","Ermöglichende Tätigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ernaehrungssouveraenitaet","Ernährungssouveränität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"erneuerbare-energien","Erneuerbare Energien",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ernst-von-glasersfeld","Ernst von Glasersfeld",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"erweiterte-herstellerverantwortung","Erweiterte Herstellerverantwortung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"erwerbsarbeitslogik","Erwerbsarbeitslogik",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"erwerbsbiografie","Erwerbsbiografie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"esap","ESAP / European Single Access Point",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"esef","ESEF",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"esg","ESG",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"espr","ESPR / Ecodesign for Sustainable Products Regulation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"esrs","ESRS",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"esrs-themenstandards","ESRS-Themenstandards",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"eu-climate-law","EU Climate Law / Europäisches Klimagesetz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"eu-ecolabel","EU Ecolabel",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"eu-green-bond-standard","EU Green Bond Standard",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"eu-taxonomie","EU-Taxonomie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"eudr","EUDR / EU Deforestation Regulation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"european-green-deal","European Green Deal / Europäischer Green Deal",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"evolutorischer-unternehmer","Evolutorischer Unternehmer",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"expertinnenlobbyismus","Expert:innenlobbyismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"exposition","Exposition",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"externalisierung","Externalisierung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"externalitaet","Externalität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"extraktiver-kapitalismus","Extraktiver Kapitalismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"extrem","Extrem",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"extremismus","Extremismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"fakten","Fakten",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"faktenargumentation","Faktenargumentation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"faktencheck","Faktencheck",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"faktenreaktanz","Faktenreaktanz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"false-balance","False Balance",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"faschismus","Faschismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"faschistoid","Faschistoid",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"faserverbundwerkstoff","Faserverbundwerkstoff",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"feindbildlogik","Feindbildlogik",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"feminisierung-von-armut","Feminisierung von Armut",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"feminismus","Feminismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"feministische-oekonomie","Feministische Ökonomie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"feministische-transformation","Feministische Transformation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"feministische-wirtschaftspolitik","Feministische Wirtschaftspolitik",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fernwirktechnik","Fernwirktechnik",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"feststoffbatterie","Feststoffbatterie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"finalscore","FinalScore",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"finanzmarktkapitalismus","Finanzmarktkapitalismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fit-for-55","Fit for 55",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"flexibilitaet-energiesystem","Flexibilität im Energiesystem",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"flexibilitaetsmarkt","Flexibilitätsmarkt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"folgencheck","Folgencheck",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"folgewirkung","Folgewirkung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"forced-labour-regulation","Forced Labour Regulation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fossiles-kraftwerk","Fossiles Kraftwerk",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"framing","Frame / Framing",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"frederic-vester","Frederic Vester",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fredmund-malik","Fredmund Malik",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"freie-und-faire-wahlen","Freie und faire Wahlen",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"frequenzhaltung","Frequenzhaltung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"friedlicher-machtwechsel","Friedlicher Machtwechsel",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"friedrich-hayek","Friedrich Hayek",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fuehrerkult","Führerkult",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fuehrerprinzip","Führerprinzip",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"fuenftes-p-planet","5. P = Planet",true,0,1,1,1,1,0,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gaskraftwerk","Gaskraftwerk",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gebrauchsgueter","Gebrauchsgüter",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gebrauchswert","Gebrauchswert",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gedaechtniskonsolidierung","Gedächtniskonsolidierung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gedankenlosigkeit","Gedankenlosigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"geld","Geld",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gemeineigentum","Gemeineigentum",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gender-budgeting","Gender Budgeting",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gender-care-gap","Gender Care Gap",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gender-data-gap","Gender Data Gap",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gender-mainstreaming","Gender Mainstreaming",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gender-pay-gap","Gender Pay Gap",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gender-pension-gap","Gender Pension Gap",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"generationengerechtigkeit","Generationengerechtigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"genossenschaft","Genossenschaft",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"genossenschaftsblindheit","Genossenschaftsblindheit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"geothermie","Geothermie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"geplante-obsoleszenz","Geplante Obsoleszenz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"geschaeftsmodellpruefung","Geschäftsmodellprüfung",true,0,1,1,1,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"geschlossene-autokratie","Geschlossene Autokratie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gesellschaft","Gesellschaft",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gesellschaftliche-stabilitaet","Gesellschaftliche Stabilität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gesetz","Gesetz",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gesicherte-leistung","Gesicherte Leistung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gesundheit","Gesundheit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gesundheitsdividende","Gesundheitsdividende",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gesundheitsgerechtigkeit","Gesundheitsgerechtigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gesundheitskasse","Gesundheitskasse",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gesundheitssystem","Gesundheitssystem",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gesundheitswirkung","Gesundheitswirkung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gewaltenteilung","Gewaltenteilung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gewaltenteilungsabbau","Gewaltenteilungsabbau",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gewerbespeicher","Gewerbespeicher",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gewinn-als-test","Gewinn als Test",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gewoehnung","Gewöhnung / Habituation",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ghg-protocol","GHG Protocol",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"glaeserne-decke","Gläserne Decke",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"glaeserne-klippe","Gläserne Klippe",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"glasfaserverstaerkter-kunststoff","Glasfaserverstärkter Kunststoff / GFK",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gleichbehandlung","Gleichbehandlung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gleichberechtigung","Gleichberechtigung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gleichheit","Gleichheit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gleichstellung","Gleichstellung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gleichstellungsfolgenabschaetzung","Gleichstellungsfolgenabschätzung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gleichwertigkeit","Gleichwertigkeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gleichzeitigkeit-ladeinfrastruktur","Gleichzeitigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"global-warming-potential","Global Warming Potential / GWP",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"glossar-backlink-audit","Glossar-Backlink-Audit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"glossar-publizierungsprozess","Glossar-Publizierungsprozess",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gongo","GONGO",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"grassroots-bewegung","Grassroots-Bewegung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"grauer-wasserstoff","Grauer Wasserstoff",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"green-claims-directive","Green Claims Directive",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"green-deal-industrial-plan","Green Deal Industrial Plan",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"greenwashing","Greenwashing",true,0,1,1,1,1,0,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"gregory-bateson","Gregory Bateson",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"grenzkosten","Grenzkosten",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"grenzkraftwerk","Grenzkraftwerk",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"grenznutzen","Grenznutzen",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gri","GRI",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gruener-kapitalismus","Grüner Kapitalismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gruener-wasserstoff","Grüner Wasserstoff",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"gruenstrom","Grünstrom",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"grunddividende","Grunddividende",true,1,1,1,1,1,0,0,1,1,1,8,"gut, kleine redaktionelle TODOs"
"grundgesetz","Grundgesetz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"grundlast","Grundlast",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"grundrechte","Grundrechte",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"habitatfragmentierung","Habitatfragmentierung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"habitatverlust","Habitatverlust",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"halbleiter","Halbleiter",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"haltung","Haltung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"handeln-arendt","Handeln",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"handlung","Handlung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"handlungsdruck","Handlungsdruck",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"handlungsfaehigkeit","Handlungsfähigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"handlungspfad","Handlungspfad",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"handlungsspielraum","Handlungsspielraum",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hannah-arendt","Hannah Arendt",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hans-ulrich","Hans Ulrich",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hard-to-abate-sektoren","Hard-to-abate-Sektoren",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"haushaltsneutralitaet","Haushaltsneutralität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hazardous-substances","Hazardous Substances / gefährliche Stoffe",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"health-co-benefits","Health Co-Benefits / Gesundheits-Co-Benefits",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"health-impact-assessment","Health Impact Assessment / HIA",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hebelpunkt","Hebelpunkt",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hebelwirkung","Hebelwirkung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"heimspeicher","Heimspeicher",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"heinz-von-foerster","Heinz von Foerster",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"heritage-foundation","Heritage Foundation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"herkunftsnachweis","Herkunftsnachweis",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"herkunftsnachweis-hkn","Herkunftsnachweis / HKN",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"herkunftstransparenz","Herkunftstransparenz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"herstellen-arendt","Herstellen",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hfcs-hydrofluorocarbons","HFCs / Hydrofluorocarbons",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hitzeschutz-hitzeaktionsplan","Hitzeschutz / Hitzeaktionsplan",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hitzestress","Hitzestress",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hochspannung","Hochspannung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hochwasserrisiko","Hochwasserrisiko",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hoechstspannung","Höchstspannung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"homo-oeconomicus","Homo oeconomicus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"host-wirkungsscore","Host-Wirkungsscore",false,1,1,1,0,1,1,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"hotspot-analyse","Hotspot-Analyse",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hpc-charger","HPC-Charger",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"human-rights-due-diligence","Human Rights Due Diligence / HRDD",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"human-rights-impact-assessment","Human Rights Impact Assessment / HRIA",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"humusaufbau","Humusaufbau",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hunger-hungerbekaempfung","Hunger / Hungerbekämpfung",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hybridregime","Hybridregime",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"hydrologischer-kreislauf","Hydrologischer Kreislauf",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"hydrometallurgie","Hydrometallurgie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"identitaetsschutz","Identitätsschutz / identitätsschützendes Denken",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"idgs","IDGs",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"illiberale-demokratie","Illiberale Demokratie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ilo","ILO",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ilo-kernarbeitsnormen","ILO-Kernarbeitsnormen",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"immanuel-kant","Immanuel Kant",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"impact-fit","Impact Fit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"impact-value","Impact Value / Wirkungswert",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"impact-washing","Impact-Washing",true,1,1,1,1,1,1,1,1,1,1,10,"veroeffentlichungsreif"
"industrielle-dekonstruktion","Industrielle Dekonstruktion",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"inertia","Inertia / Trägheit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"informationsasymmetrie","Informationsasymmetrie",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"informationsintegritaet","Informationsintegrität",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"informationsueberlastung","Informationsüberlastung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ingroup-outgroup-dynamik","In-Group / Out-Group-Dynamik",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"innere-loops","Innere Loops",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"innovation","Innovation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"innovativer-unternehmer","Innovativer Unternehmer",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"insetting","Insetting",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"inside-out-outside-in","Inside-out / Outside-in",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"institutioneller-rassismus","Institutioneller Rassismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"institutionendelegitimierung","Institutionendelegitimierung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"institutionenkritik","Institutionenkritik",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"interdependenz","Interdependenz",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"interessenkonflikt","Interessenkonflikt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"interessenvertretung","Interessenvertretung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"intersektionalitaet","Intersektionalität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"intertemporale-freiheit","Intertemporale Freiheit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ipbes","IPBES",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"ipcc","IPCC",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"iro","IRO / Impacts, Risks and Opportunities",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"iso-14040-14044","ISO 14040 / ISO 14044",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"issb-ifrs-s1-s2","ISSB / IFRS S1 und IFRS S2",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"jobs-to-be-done","Jobs-to-be-Done",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"jochen-roepke","Jochen Röpke",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"john-maynard-keynes","John Maynard Keynes",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"joseph-schumpeter","Joseph A. Schumpeter",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"just-transition-mechanism","Just Transition Mechanism",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kannibalisierungseffekt","Kannibalisierungseffekt",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kapazitaetsmarkt","Kapazitätsmarkt",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kapazitaetsreserve","Kapazitätsreserve",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kapital","Kapital",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kapital-als-machtverhaeltnis","Kapital als Machtverhältnis",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kapital-als-werkzeug","Kapital als Werkzeug",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kapitalfluss","Kapitalfluss",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kapitalismus","Kapitalismus",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kapitalrendite","Kapitalrendite",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kapitalwirkung","Kapitalwirkung",true,1,1,1,1,1,0,1,1,1,1,9,"gut, kleine redaktionelle TODOs"
"karl-marx","Karl Marx",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"karl-polanyi","Karl Polanyi",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kaskadennutzung","Kaskadennutzung",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kernenergie","Kernenergie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"ki-governance","KI-Governance",true,0,1,1,1,1,0,0,1,1,1,7,"nacharbeiten"
"ki-und-arbeit","KI und Arbeit",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kii","KII",true,0,1,1,1,1,0,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"kipppunkt","Kipppunkt / Schwellenwert",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kipppunkt-systemschwelle","Kipppunkt / Systemschwelle",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"klassischer-liberalismus","Klassischer Liberalismus",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"kleptokratie","Kleptokratie",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"klimaanpassung","Klimaanpassung / Adaptation",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"klimafolgeschaeden","Klimafolgeschäden / Loss and Damage",false,0,1,1,0,1,1,1,1,1,1,8,"gut, kleine redaktionelle TODOs"
"klimagerechtigkeit","Klimagerechtigkeit",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
"klimaneutralitaet","Klimaneutralität",false,0,0,1,0,1,1,1,1,1,1,7,"nacharbeiten"
