Gesamtfolge;Produktionspaket;Position im Paket;Phase;Phasentitel;Rang;Portal / Bereich;Unterbereich;Dokumenttyp;Priorität;Komplexität;Abhängigkeit / Vorleistung;Warum in dieser Reihenfolge;Slug;Status;Nächster Schritt
59;23;3;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Spekulationsschutz und Bodenpolitik;Fach-Detailkonzept;P1;mittel;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;spekulationsschutz-und-bodenpolitik;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
60;24;1;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Sanierung, Energie und Warmmietenneutralität;Fach-Detailkonzept;P1;mittel;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;sanierung-energie-und-warmmietenneutralitaet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
61;24;2;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Stranded Assets im Wohnungsmarkt;Fach-Detailkonzept;P1;mittel;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;stranded-assets-im-wohnungsmarkt;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
62;24;3;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Wohnen als Wirkungsraum;Fach-Detailkonzept;P2;mittel/niedrig;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;wohnen-als-wirkungsraum;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
63;25;1;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Gebäude- und Quartierswirkung;Fach-Detailkonzept;P2;mittel/niedrig;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;gebaeude--und-quartierswirkung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
64;25;2;Phase 8;Wohnen & Stadt;5;Wohnen & Stadt;Kommunale Wohnungspolitik und Wohnwirkungshaushalt;Fach-Detailkonzept;P2;hoch;"Kapitalwirkung; WIX-Wohn; Wohnen-Basis; Investor:innen-Dokument als Referenz";Wohnen ist gesellschaftlich greifbar und verbindet Kapital, Stadt, Energie, Teilhabe.;kommunale-wohnungspolitik-und-wohnwirkungshaushalt;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
65;26;1;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Bildung als Wirkungsinfrastruktur;Fach-Detailkonzept;P1;mittel;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;bildung-als-wirkungsinfrastruktur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
66;26;2;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Die Wirkungsschule;Fach-Detailkonzept;P1;mittel;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;die-wirkungsschule;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
67;26;3;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Wirkungspädagogik;Fach-Detailkonzept;P1;mittel;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;wirkungspaedagogik;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
68;27;1;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Fach oder Lernfeld Zukunft;Fach-Detailkonzept;P1;mittel;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;fach-oder-lernfeld-zukunft;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
69;27;2;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Bewertung, Noten und Wirkungsportfolio;Fach-Detailkonzept;P1;mittel;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;bewertung-noten-und-wirkungsportfolio;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
70;27;3;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Wirkungsförderung und Nachhilfe ausserhalb der Schule;Fach-Detailkonzept;P1;mittel;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;wirkungsfoerderung-und-nachhilfe-ausserhalb-der-schule;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
71;28;1;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Fächer neu denken und vernetzen;Fach-Detailkonzept;P2;mittel/niedrig;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;faecher-neu-denken-und-vernetzen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
72;28;2;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Digitale Mündigkeit und KI-Kompetenz;Fach-Detailkonzept;P2;mittel/niedrig;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;digitale-muendigkeit-und-ki-kompetenz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
73;28;3;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Demokratie-, Medien- und Wirkungskompetenz;Fach-Detailkonzept;P2;mittel/niedrig;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;demokratie--medien--und-wirkungskompetenz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
74;29;1;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Schule als Lebens-, Gesundheits- und Wirkungsraum;Fach-Detailkonzept;P2;mittel/niedrig;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;schule-als-lebens--gesundheits--und-wirkungsraum;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
75;29;2;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Inklusion, Vielfalt, Migration und Begabung;Fach-Detailkonzept;P2;mittel/niedrig;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;inklusion-vielfalt-migration-und-begabung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
76;29;3;Phase 9;Bildung & Wirkungsschule;8;Bildung / Wirkungsschule;Lehrkräfte, Schulleitung, Teams und Bildungsnetzwerke;Fach-Detailkonzept;P2;mittel/niedrig;"SDG 4; Wirkungskompetenz; Bildungsportal";Bildung ist eigenständiges Großkonzept und braucht die vorherige Wirkungslogik.;lehrkraefte-schulleitung-teams-und-bildungsnetzwerke;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
77;30;1;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Medien und Öffentlichkeit als Wirkungsraum;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;medien-und-oeffentlichkeit-als-wirkungsraum;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
78;30;2;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Journalismus Wirkung statt Klicks;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;journalismus-wirkung-statt-klicks;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
79;30;3;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Plattformen und Social Media;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;plattformen-und-social-media;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
80;31;1;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Sprache, Frames und Diskurskultur;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;sprache-frames-und-diskurskultur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
81;31;2;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Desinformation, Deepfakes und hybride Einflussnahme;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;desinformation-deepfakes-und-hybride-einflussnahme;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
82;31;3;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Algorithmische Verstärkung und Aufmerksamkeitsökonomie;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;algorithmische-verstaerkung-und-aufmerksamkeitsoekonomie;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
83;32;1;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Medienrecht, Plattformaufsicht und digitale Grundrechte;Fach-Detailkonzept;P1;mittel;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;medienrecht-plattformaufsicht-und-digitale-grundrechte;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
84;32;2;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Resiliente Öffentlichkeit und Krisenkommunikation;Fach-Detailkonzept;P2;mittel/niedrig;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;resiliente-oeffentlichkeit-und-krisenkommunikation;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
85;32;3;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Politische Kommunikation, Wahlkampf und öffentliche Verantwortung;Fach-Detailkonzept;P2;mittel/niedrig;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;politische-kommunikation-wahlkampf-und-oeffentliche-verantwortung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
86;33;1;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Creator:innen, Hosts und Influencer:innen;Fach-Detailkonzept;P2;mittel/niedrig;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;creator-innen-hosts-und-influencer-innen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
87;33;2;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Medienkompetenz, Quellenklarheit und Wirkungskompetenz;Fach-Detailkonzept;P2;mittel/niedrig;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;medienkompetenz-quellenklarheit-und-wirkungskompetenz;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
88;33;3;Phase 10;Medien & Öffentlichkeit;9;Medien, Social Media, Journalismus & Öffentlichkeit;Medienvielfalt, Lokaljournalismus und Finanzierung;Fach-Detailkonzept;P2;mittel/niedrig;"SDG+ Demokratie/Medien; Plattform- und Medienrecht";SDG+ wird in Öffentlichkeit, Wahrheit und Demokratie praktisch sichtbar.;medienvielfalt-lokaljournalismus-und-finanzierung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
89;34;1;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Gesundheit als gesellschaftliches Wirkungsfeld;Fach-Detailkonzept;P1;mittel;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;gesundheit-als-gesellschaftliches-wirkungsfeld;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
90;34;2;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Prävention, Gesundheitskassen und Wirkungshaushalt;Fach-Detailkonzept;P1;hoch;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;praevention-gesundheitskassen-und-wirkungshaushalt;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
91;34;3;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Pflege als Wirkleistung und Pflegeökosystem;Fach-Detailkonzept;P1;mittel;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;pflege-als-wirkleistung-und-pflegeoekosystem;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
92;35;1;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Versorgungsräume, Kliniken und Gesundheitsnetzwerke;Fach-Detailkonzept;P1;mittel;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;versorgungsraeume-kliniken-und-gesundheitsnetzwerke;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
93;35;2;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Psychische Gesundheit und soziale Stabilität;Fach-Detailkonzept;P1;mittel;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;psychische-gesundheit-und-soziale-stabilitaet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
94;35;3;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Gesundheitsdaten, KI und Bürgerkontrolle;Fach-Detailkonzept;P1;mittel;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;gesundheitsdaten-ki-und-buergerkontrolle;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
95;36;1;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Finanzierung, Wirkungsfonds und Gesundheitskassen;Fach-Detailkonzept;P1;hoch;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;finanzierung-wirkungsfonds-und-gesundheitskassen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
96;36;2;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Gesundheitsgerechtigkeit, Inklusion und Migration;Fach-Detailkonzept;P2;mittel/niedrig;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;gesundheitsgerechtigkeit-inklusion-und-migration;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
97;36;3;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;One Health, Klima, Umwelt und Ernährung;Fach-Detailkonzept;P2;mittel/niedrig;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;one-health-klima-umwelt-und-ernaehrung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
98;37;1;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Arbeitswelt, Unternehmen und Gesundheitswirkung;Fach-Detailkonzept;P2;mittel/niedrig;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;arbeitswelt-unternehmen-und-gesundheitswirkung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
99;37;2;Phase 11;Gesundheit & Pflege;10;Gesundheit & Pflege;Fachkräfte, Migration, Robotik und Pflegeentlastung;Fach-Detailkonzept;P2;mittel/niedrig;"Gesundheitssystem; Präventionslogik; Datenschutz/EHDS";Gesundheit und Pflege brauchen sorgfältige Quellen- und Abgrenzungsarbeit.;fachkraefte-migration-robotik-und-pflegeentlastung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
100;38;1;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Wissenschaft als Wirkungsinfrastruktur;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;wissenschaft-als-wirkungsinfrastruktur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
101;38;2;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Open Science, Replikation und Forschungsintegrität;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;open-science-replikation-und-forschungsintegritaet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
102;38;3;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Wirkungsorientierte Forschung und Missionen;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;wirkungsorientierte-forschung-und-missionen;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
103;39;1;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Innovation als Systemlernen und Transfer;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;innovation-als-systemlernen-und-transfer;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
104;39;2;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;KI und algorithmische Verantwortung;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;ki-und-algorithmische-verantwortung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
105;39;3;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Datenräume, Interoperabilität und Wirkungsdaten;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;datenraeume-interoperabilitaet-und-wirkungsdaten;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
106;40;1;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Digitale öffentliche Infrastruktur und Souveränität;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;digitale-oeffentliche-infrastruktur-und-souveraenitaet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
107;40;2;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Cyberresilienz und kritische Wissensinfrastruktur;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;cyberresilienz-und-kritische-wissensinfrastruktur;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
108;40;3;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Forschungsförderung, Wissensrat und Politikberatung;Fach-Detailkonzept;P1;mittel;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;forschungsfoerderung-wissensrat-und-politikberatung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
109;41;1;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Start-ups, Deep Tech und Wirkungsinnovation;Fach-Detailkonzept;P2;mittel/niedrig;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;start-ups-deep-tech-und-wirkungsinnovation;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
110;41;2;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Wissenschaftskommunikation und Vertrauensbildung;Fach-Detailkonzept;P2;mittel/niedrig;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;wissenschaftskommunikation-und-vertrauensbildung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
111;41;3;Phase 12;Wissenschaft, Innovation & Digitalisierung;11;Wissenschaft, Innovation & Digitalisierung;Digitale Teilhabe, Kompetenz und Bildung;Fach-Detailkonzept;P2;mittel/niedrig;"Datenräume, KI, Wissenschaftslogik; Open Science";Datenräume, KI, Wissenschaft und Innovation stützen alle Fachportale.;digitale-teilhabe-kompetenz-und-bildung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
112;42;1;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Klima als Wirkungsraum;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;klima-als-wirkungsraum;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
113;42;2;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Energie als Rückgrat der Wirkung;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;energie-als-rueckgrat-der-wirkung;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
114;42;3;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Ressourcen und Kreislaufwirtschaft;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;ressourcen-und-kreislaufwirtschaft;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
115;43;1;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Wasser, Boden und Biodiversität;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;wasser-boden-und-biodiversitaet;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
116;43;2;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Kritische Rohstoffe und strategische Autonomie;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;kritische-rohstoffe-und-strategische-autonomie;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
117;43;3;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Industrie, Materialien und harte Sektoren;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;industrie-materialien-und-harte-sektoren;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
118;44;1;Phase 13;Klima, Energie & Ressourcen;13;Klima, Energie & Ressourcen;Energiearmut, Verteilung und gerechte Transformation;Fach-Detailkonzept;P1;mittel;"SDG 6/7/12/13/14/15; Kapital/Fonds; Produkte/Wohnen/Industrie";Planetare Grundlage und physische Systemgrenzen werden vertieft.;energiearmut-verteilung-und-gerechte-transformation;offen;"Echtes Detailkonzept im Referenzumfang ausarbeiten; danach Dossier und Online-Version ableiten."
